,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,31-01-2023,Onion Big,25,30,35,1kg
1,31-01-2023,Onion Small,38,46,54,1kg
2,31-01-2023,Tomato,22,26,31,1kg
3,31-01-2023,Green Chilli,37,45,52,1kg
4,31-01-2023,Beetroot,36,43,51,1kg
5,31-01-2023,Potato,34,41,48,1kg
6,31-01-2023,Raw Banana (Plantain),11,13,15,1kg
7,31-01-2023,Amaranth Leaves,13,16,18,1kg
8,31-01-2023,Amla,75,90,107,1kg
9,31-01-2023,Ash gourd,28,34,40,1kg
10,31-01-2023,Baby Corn,65,79,92,1kg
11,31-01-2023,Banana Flower,16,19,22,1kg
12,31-01-2023,Capsicum,45,54,64,1kg
13,31-01-2023,Bitter Gourd,30,36,43,1kg
14,31-01-2023,Bottle Gourd,26,31,37,1kg
15,31-01-2023,Butter Beans,66,80,94,1kg
16,31-01-2023,Broad Beans,33,40,47,1kg
17,31-01-2023,Cabbage,22,26,31,1kg
18,31-01-2023,Carrot,36,43,51,1kg
19,31-01-2023,Cauliflower,27,32,38,1kg
20,31-01-2023,Cluster beans,40,48,57,1kg
21,31-01-2023,Coconut,32,39,45,1kg
22,31-01-2023,Colocasia Leaves,14,17,20,1kg
23,31-01-2023,Colocasia,27,32,38,1kg
24,31-01-2023,Coriander Leaves,5,6,7,1kg
25,31-01-2023,Corn,29,35,41,1kg
26,31-01-2023,Cucumber,22,26,31,1kg
27,31-01-2023,Curry Leaves,29,35,41,1kg
28,31-01-2023,Dill Leaves,13,16,18,1kg
29,31-01-2023,Drumsticks,110,133,157,1kg
30,31-01-2023,Brinjal,20,24,28,1kg
31,31-01-2023,Brinjal (Big),28,34,40,1kg
32,31-01-2023,Elephant Yam,28,34,40,1kg
33,31-01-2023,Fenugreek Leaves,12,14,17,1kg
34,31-01-2023,French Beans,36,43,51,1kg
35,31-01-2023,Garlic,42,50,59,1kg
36,31-01-2023,Ginger,47,57,67,1kg
37,31-01-2023,Onion Green,43,52,61,1kg
38,31-01-2023,Green Peas,83,100,118,1kg
39,31-01-2023,Ivy Gourd,24,29,34,1kg
40,31-01-2023,Lemon (Lime),54,65,77,1kg
41,31-01-2023,Mango Raw,98,118,140,1kg
42,31-01-2023,Mint Leaves,5,6,7,1kg
43,31-01-2023,Mushroom,75,90,107,1kg
44,31-01-2023,Mustard Leaves,17,21,24,1kg
45,31-01-2023,Ladies Finger,40,48,57,1kg
46,31-01-2023,Pumpkin,29,35,41,1kg
47,31-01-2023,Radish,23,27,33,1kg
48,31-01-2023,Ridge Gourd,29,35,41,1kg
49,31-01-2023,Shallot (Pearl Onion),36,43,51,1kg
50,31-01-2023,Snake Gourd,28,34,40,1kg
51,31-01-2023,Sorrel Leaves,11,13,15,1kg
52,31-01-2023,Spinach,11,13,15,1kg
53,31-01-2023,Sweet Potato,37,45,52,1kg
54,30-01-2023,Onion Big,29,35,41,1kg
55,30-01-2023,Onion Small,31,37,44,1kg
56,30-01-2023,Tomato,24,29,34,1kg
57,30-01-2023,Green Chilli,32,39,45,1kg
58,30-01-2023,Beetroot,34,41,48,1kg
59,30-01-2023,Potato,28,34,40,1kg
60,30-01-2023,Raw Banana (Plantain),10,12,14,1kg
61,30-01-2023,Amaranth Leaves,10,12,14,1kg
62,30-01-2023,Amla,55,66,78,1kg
63,30-01-2023,Ash gourd,25,30,35,1kg
64,30-01-2023,Baby Corn,62,75,88,1kg
65,30-01-2023,Banana Flower,20,24,28,1kg
66,30-01-2023,Capsicum,44,53,63,1kg
67,30-01-2023,Bitter Gourd,32,39,45,1kg
68,30-01-2023,Bottle Gourd,29,35,41,1kg
69,30-01-2023,Butter Beans,74,89,105,1kg
70,30-01-2023,Broad Beans,39,47,55,1kg
71,30-01-2023,Cabbage,22,26,31,1kg
72,30-01-2023,Carrot,35,42,50,1kg
73,30-01-2023,Cauliflower,26,31,37,1kg
74,30-01-2023,Cluster beans,42,50,59,1kg
75,30-01-2023,Coconut,32,39,45,1kg
76,30-01-2023,Colocasia Leaves,13,16,18,1kg
77,30-01-2023,Colocasia,24,29,34,1kg
78,30-01-2023,Coriander Leaves,7,8,10,1kg
79,30-01-2023,Corn,30,36,43,1kg
80,30-01-2023,Cucumber,25,30,35,1kg
81,30-01-2023,Curry Leaves,30,36,43,1kg
82,30-01-2023,Dill Leaves,15,18,21,1kg
83,30-01-2023,Drumsticks,120,145,171,1kg
84,30-01-2023,Brinjal,22,26,31,1kg
85,30-01-2023,Brinjal (Big),28,34,40,1kg
86,30-01-2023,Elephant Yam,26,31,37,1kg
87,30-01-2023,Fenugreek Leaves,11,13,15,1kg
88,30-01-2023,French Beans,37,45,52,1kg
89,30-01-2023,Garlic,34,41,48,1kg
90,30-01-2023,Ginger,40,48,57,1kg
91,30-01-2023,Onion Green,40,48,57,1kg
92,30-01-2023,Green Peas,81,98,115,1kg
93,30-01-2023,Ivy Gourd,26,31,37,1kg
94,30-01-2023,Lemon (Lime),57,69,81,1kg
95,30-01-2023,Mango Raw,80,97,114,1kg
96,30-01-2023,Mint Leaves,4,5,6,1kg
97,30-01-2023,Mushroom,77,93,109,1kg
98,30-01-2023,Mustard Leaves,17,21,24,1kg
99,30-01-2023,Ladies Finger,44,53,63,1kg
100,30-01-2023,Pumpkin,27,32,38,1kg
101,30-01-2023,Radish,28,34,40,1kg
102,30-01-2023,Ridge Gourd,29,35,41,1kg
103,30-01-2023,Shallot (Pearl Onion),32,39,45,1kg
104,30-01-2023,Snake Gourd,30,36,43,1kg
105,30-01-2023,Sorrel Leaves,14,17,20,1kg
106,30-01-2023,Spinach,12,14,17,1kg
107,30-01-2023,Sweet Potato,37,45,52,1kg
108,29-01-2023,Onion Big,29,35,41,1kg
109,29-01-2023,Onion Small,31,37,44,1kg
110,29-01-2023,Tomato,24,29,34,1kg
111,29-01-2023,Green Chilli,32,39,45,1kg
112,29-01-2023,Beetroot,34,41,48,1kg
113,29-01-2023,Potato,28,34,40,1kg
114,29-01-2023,Raw Banana (Plantain),10,12,14,1kg
115,29-01-2023,Amaranth Leaves,10,12,14,1kg
116,29-01-2023,Amla,55,66,78,1kg
117,29-01-2023,Ash gourd,25,30,35,1kg
118,29-01-2023,Baby Corn,62,75,88,1kg
119,29-01-2023,Banana Flower,20,24,28,1kg
120,29-01-2023,Capsicum,44,53,63,1kg
121,29-01-2023,Bitter Gourd,32,39,45,1kg
122,29-01-2023,Bottle Gourd,29,35,41,1kg
123,29-01-2023,Butter Beans,74,89,105,1kg
124,29-01-2023,Broad Beans,39,47,55,1kg
125,29-01-2023,Cabbage,22,26,31,1kg
126,29-01-2023,Carrot,35,42,50,1kg
127,29-01-2023,Cauliflower,26,31,37,1kg
128,29-01-2023,Cluster beans,42,50,59,1kg
129,29-01-2023,Coconut,32,39,45,1kg
130,29-01-2023,Colocasia Leaves,13,16,18,1kg
131,29-01-2023,Colocasia,24,29,34,1kg
132,29-01-2023,Coriander Leaves,7,8,10,1kg
133,29-01-2023,Corn,30,36,43,1kg
134,29-01-2023,Cucumber,25,30,35,1kg
135,29-01-2023,Curry Leaves,30,36,43,1kg
136,29-01-2023,Dill Leaves,15,18,21,1kg
137,29-01-2023,Drumsticks,120,145,171,1kg
138,29-01-2023,Brinjal,22,26,31,1kg
139,29-01-2023,Brinjal (Big),28,34,40,1kg
140,29-01-2023,Elephant Yam,26,31,37,1kg
141,29-01-2023,Fenugreek Leaves,11,13,15,1kg
142,29-01-2023,French Beans,37,45,52,1kg
143,29-01-2023,Garlic,34,41,48,1kg
144,29-01-2023,Ginger,40,48,57,1kg
145,29-01-2023,Onion Green,40,48,57,1kg
146,29-01-2023,Green Peas,81,98,115,1kg
147,29-01-2023,Ivy Gourd,26,31,37,1kg
148,29-01-2023,Lemon (Lime),57,69,81,1kg
149,29-01-2023,Mango Raw,80,97,114,1kg
150,29-01-2023,Mint Leaves,4,5,6,1kg
151,29-01-2023,Mushroom,77,93,109,1kg
152,29-01-2023,Mustard Leaves,17,21,24,1kg
153,29-01-2023,Ladies Finger,44,53,63,1kg
154,29-01-2023,Pumpkin,27,32,38,1kg
155,29-01-2023,Radish,28,34,40,1kg
156,29-01-2023,Ridge Gourd,29,35,41,1kg
157,29-01-2023,Shallot (Pearl Onion),32,39,45,1kg
158,29-01-2023,Snake Gourd,30,36,43,1kg
159,29-01-2023,Sorrel Leaves,14,17,20,1kg
160,29-01-2023,Spinach,12,14,17,1kg
161,29-01-2023,Sweet Potato,37,45,52,1kg
162,28-01-2023,Onion Big,29,35,41,1kg
163,28-01-2023,Onion Small,31,37,44,1kg
164,28-01-2023,Tomato,24,29,34,1kg
165,28-01-2023,Green Chilli,32,39,45,1kg
166,28-01-2023,Beetroot,34,41,48,1kg
167,28-01-2023,Potato,28,34,40,1kg
168,28-01-2023,Raw Banana (Plantain),10,12,14,1kg
169,28-01-2023,Amaranth Leaves,10,12,14,1kg
170,28-01-2023,Amla,55,66,78,1kg
171,28-01-2023,Ash gourd,25,30,35,1kg
172,28-01-2023,Baby Corn,62,75,88,1kg
173,28-01-2023,Banana Flower,20,24,28,1kg
174,28-01-2023,Capsicum,44,53,63,1kg
175,28-01-2023,Bitter Gourd,32,39,45,1kg
176,28-01-2023,Bottle Gourd,29,35,41,1kg
177,28-01-2023,Butter Beans,74,89,105,1kg
178,28-01-2023,Broad Beans,39,47,55,1kg
179,28-01-2023,Cabbage,22,26,31,1kg
180,28-01-2023,Carrot,35,42,50,1kg
181,28-01-2023,Cauliflower,26,31,37,1kg
182,28-01-2023,Cluster beans,42,50,59,1kg
183,28-01-2023,Coconut,32,39,45,1kg
184,28-01-2023,Colocasia Leaves,13,16,18,1kg
185,28-01-2023,Colocasia,24,29,34,1kg
186,28-01-2023,Coriander Leaves,7,8,10,1kg
187,28-01-2023,Corn,30,36,43,1kg
188,28-01-2023,Cucumber,25,30,35,1kg
189,28-01-2023,Curry Leaves,30,36,43,1kg
190,28-01-2023,Dill Leaves,15,18,21,1kg
191,28-01-2023,Drumsticks,120,145,171,1kg
192,28-01-2023,Brinjal,22,26,31,1kg
193,28-01-2023,Brinjal (Big),28,34,40,1kg
194,28-01-2023,Elephant Yam,26,31,37,1kg
195,28-01-2023,Fenugreek Leaves,11,13,15,1kg
196,28-01-2023,French Beans,37,45,52,1kg
197,28-01-2023,Garlic,34,41,48,1kg
198,28-01-2023,Ginger,40,48,57,1kg
199,28-01-2023,Onion Green,40,48,57,1kg
200,28-01-2023,Green Peas,81,98,115,1kg
201,28-01-2023,Ivy Gourd,26,31,37,1kg
202,28-01-2023,Lemon (Lime),57,69,81,1kg
203,28-01-2023,Mango Raw,80,97,114,1kg
204,28-01-2023,Mint Leaves,4,5,6,1kg
205,28-01-2023,Mushroom,77,93,109,1kg
206,28-01-2023,Mustard Leaves,17,21,24,1kg
207,28-01-2023,Ladies Finger,44,53,63,1kg
208,28-01-2023,Pumpkin,27,32,38,1kg
209,28-01-2023,Radish,28,34,40,1kg
