,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,31-03-2023,Onion Big,22,26,31,1kg
1,31-03-2023,Onion Small,56,67,79,1kg
2,31-03-2023,Tomato,21,25,30,1kg
3,31-03-2023,Green Chilli,38,46,54,1kg
4,31-03-2023,Beetroot,29,35,41,1kg
5,31-03-2023,Potato,28,34,40,1kg
6,31-03-2023,Raw Banana (Plantain),10,12,14,1kg
7,31-03-2023,Amaranth Leaves,15,18,21,1kg
8,31-03-2023,Amla,60,72,85,1kg
9,31-03-2023,Ash gourd,24,29,34,1kg
10,31-03-2023,Baby Corn,56,67,79,1kg
11,31-03-2023,Banana Flower,14,17,20,1kg
12,31-03-2023,Capsicum,45,54,64,1kg
13,31-03-2023,Bitter Gourd,26,31,37,1kg
14,31-03-2023,Bottle Gourd,26,31,37,1kg
15,31-03-2023,Butter Beans,45,54,64,1kg
16,31-03-2023,Broad Beans,44,53,63,1kg
17,31-03-2023,Cabbage,13,16,18,1kg
18,31-03-2023,Carrot,28,34,40,1kg
19,31-03-2023,Cauliflower,26,31,37,1kg
20,31-03-2023,Cluster beans,40,48,57,1kg
21,31-03-2023,Coconut,29,35,41,1kg
22,31-03-2023,Colocasia Leaves,16,19,22,1kg
23,31-03-2023,Colocasia,28,34,40,1kg
24,31-03-2023,Coriander Leaves,5,6,7,1kg
25,31-03-2023,Corn,25,30,35,1kg
26,31-03-2023,Cucumber,30,36,43,1kg
27,31-03-2023,Curry Leaves,30,36,43,1kg
28,31-03-2023,Dill Leaves,10,12,14,1kg
29,31-03-2023,Drumsticks,100,121,142,1kg
30,31-03-2023,Brinjal,20,24,28,1kg
31,31-03-2023,Brinjal (Big),29,35,41,1kg
32,31-03-2023,Elephant Yam,28,34,40,1kg
33,31-03-2023,Fenugreek Leaves,8,9,11,1kg
34,31-03-2023,French Beans,38,46,54,1kg
35,31-03-2023,Garlic,51,62,72,1kg
36,31-03-2023,Ginger,45,54,64,1kg
37,31-03-2023,Onion Green,45,54,64,1kg
38,31-03-2023,Green Peas,75,90,107,1kg
39,31-03-2023,Ivy Gourd,24,29,34,1kg
40,31-03-2023,Lemon (Lime),56,67,79,1kg
41,31-03-2023,Mango Raw,95,115,135,1kg
42,31-03-2023,Mint Leaves,4,5,6,1kg
43,31-03-2023,Mushroom,74,89,105,1kg
44,31-03-2023,Mustard Leaves,16,19,22,1kg
45,31-03-2023,Ladies Finger,50,61,71,1kg
46,31-03-2023,Pumpkin,24,29,34,1kg
47,31-03-2023,Radish,21,25,30,1kg
48,31-03-2023,Ridge Gourd,27,32,38,1kg
49,31-03-2023,Shallot (Pearl Onion),32,39,45,1kg
50,31-03-2023,Snake Gourd,29,35,41,1kg
51,31-03-2023,Sorrel Leaves,13,16,18,1kg
52,31-03-2023,Spinach,13,16,18,1kg
53,31-03-2023,Sweet Potato,37,45,52,1kg
54,30-03-2023,Onion Big,22,26,31,1kg
55,30-03-2023,Onion Small,56,67,79,1kg
56,30-03-2023,Tomato,21,25,30,1kg
57,30-03-2023,Green Chilli,38,46,54,1kg
58,30-03-2023,Beetroot,29,35,41,1kg
59,30-03-2023,Potato,28,34,40,1kg
60,30-03-2023,Raw Banana (Plantain),10,12,14,1kg
61,30-03-2023,Amaranth Leaves,15,18,21,1kg
62,30-03-2023,Amla,60,72,85,1kg
63,30-03-2023,Ash gourd,24,29,34,1kg
64,30-03-2023,Baby Corn,56,67,79,1kg
65,30-03-2023,Banana Flower,14,17,20,1kg
66,30-03-2023,Capsicum,45,54,64,1kg
67,30-03-2023,Bitter Gourd,26,31,37,1kg
68,30-03-2023,Bottle Gourd,26,31,37,1kg
69,30-03-2023,Butter Beans,45,54,64,1kg
70,30-03-2023,Broad Beans,44,53,63,1kg
71,30-03-2023,Cabbage,13,16,18,1kg
72,30-03-2023,Carrot,28,34,40,1kg
73,30-03-2023,Cauliflower,26,31,37,1kg
74,30-03-2023,Cluster beans,40,48,57,1kg
75,30-03-2023,Coconut,29,35,41,1kg
76,30-03-2023,Colocasia Leaves,16,19,22,1kg
77,30-03-2023,Colocasia,28,34,40,1kg
78,30-03-2023,Coriander Leaves,5,6,7,1kg
79,30-03-2023,Corn,25,30,35,1kg
80,30-03-2023,Cucumber,30,36,43,1kg
81,30-03-2023,Curry Leaves,30,36,43,1kg
82,30-03-2023,Dill Leaves,10,12,14,1kg
83,30-03-2023,Drumsticks,100,121,142,1kg
84,30-03-2023,Brinjal,20,24,28,1kg
85,30-03-2023,Brinjal (Big),29,35,41,1kg
86,30-03-2023,Elephant Yam,28,34,40,1kg
87,30-03-2023,Fenugreek Leaves,8,9,11,1kg
88,30-03-2023,French Beans,38,46,54,1kg
89,30-03-2023,Garlic,51,62,72,1kg
90,30-03-2023,Ginger,45,54,64,1kg
91,30-03-2023,Onion Green,45,54,64,1kg
92,30-03-2023,Green Peas,75,90,107,1kg
93,30-03-2023,Ivy Gourd,24,29,34,1kg
94,30-03-2023,Lemon (Lime),56,67,79,1kg
95,30-03-2023,Mango Raw,95,115,135,1kg
96,30-03-2023,Mint Leaves,4,5,6,1kg
97,30-03-2023,Mushroom,74,89,105,1kg
98,30-03-2023,Mustard Leaves,16,19,22,1kg
99,30-03-2023,Ladies Finger,50,61,71,1kg
100,30-03-2023,Pumpkin,24,29,34,1kg
101,30-03-2023,Radish,21,25,30,1kg
102,30-03-2023,Ridge Gourd,27,32,38,1kg
103,30-03-2023,Shallot (Pearl Onion),32,39,45,1kg
104,30-03-2023,Snake Gourd,29,35,41,1kg
105,30-03-2023,Sorrel Leaves,13,16,18,1kg
106,30-03-2023,Spinach,13,16,18,1kg
107,30-03-2023,Sweet Potato,37,45,52,1kg
108,29-03-2023,Onion Big,22,26,31,1kg
109,29-03-2023,Onion Small,56,67,79,1kg
110,29-03-2023,Tomato,21,25,30,1kg
111,29-03-2023,Green Chilli,38,46,54,1kg
112,29-03-2023,Beetroot,29,35,41,1kg
113,29-03-2023,Potato,28,34,40,1kg
114,29-03-2023,Raw Banana (Plantain),10,12,14,1kg
115,29-03-2023,Amaranth Leaves,15,18,21,1kg
116,29-03-2023,Amla,60,72,85,1kg
117,29-03-2023,Ash gourd,24,29,34,1kg
118,29-03-2023,Baby Corn,56,67,79,1kg
119,29-03-2023,Banana Flower,14,17,20,1kg
120,29-03-2023,Capsicum,45,54,64,1kg
121,29-03-2023,Bitter Gourd,26,31,37,1kg
122,29-03-2023,Bottle Gourd,26,31,37,1kg
123,29-03-2023,Butter Beans,45,54,64,1kg
124,29-03-2023,Broad Beans,44,53,63,1kg
125,29-03-2023,Cabbage,13,16,18,1kg
126,29-03-2023,Carrot,28,34,40,1kg
127,29-03-2023,Cauliflower,26,31,37,1kg
128,29-03-2023,Cluster beans,40,48,57,1kg
129,29-03-2023,Coconut,29,35,41,1kg
130,29-03-2023,Colocasia Leaves,16,19,22,1kg
131,29-03-2023,Colocasia,28,34,40,1kg
132,29-03-2023,Coriander Leaves,5,6,7,1kg
133,29-03-2023,Corn,25,30,35,1kg
134,29-03-2023,Cucumber,30,36,43,1kg
135,29-03-2023,Curry Leaves,30,36,43,1kg
136,29-03-2023,Dill Leaves,10,12,14,1kg
137,29-03-2023,Drumsticks,100,121,142,1kg
138,29-03-2023,Brinjal,20,24,28,1kg
139,29-03-2023,Brinjal (Big),29,35,41,1kg
140,29-03-2023,Elephant Yam,28,34,40,1kg
141,29-03-2023,Fenugreek Leaves,8,9,11,1kg
142,29-03-2023,French Beans,38,46,54,1kg
143,29-03-2023,Garlic,51,62,72,1kg
144,29-03-2023,Ginger,45,54,64,1kg
145,29-03-2023,Onion Green,45,54,64,1kg
146,29-03-2023,Green Peas,75,90,107,1kg
147,29-03-2023,Ivy Gourd,24,29,34,1kg
148,29-03-2023,Lemon (Lime),56,67,79,1kg
149,29-03-2023,Mango Raw,95,115,135,1kg
150,29-03-2023,Mint Leaves,4,5,6,1kg
151,29-03-2023,Mushroom,74,89,105,1kg
152,29-03-2023,Mustard Leaves,16,19,22,1kg
153,29-03-2023,Ladies Finger,50,61,71,1kg
154,29-03-2023,Pumpkin,24,29,34,1kg
155,29-03-2023,Radish,21,25,30,1kg
156,29-03-2023,Ridge Gourd,27,32,38,1kg
157,29-03-2023,Shallot (Pearl Onion),32,39,45,1kg
158,29-03-2023,Snake Gourd,29,35,41,1kg
159,29-03-2023,Sorrel Leaves,13,16,18,1kg
160,29-03-2023,Spinach,13,16,18,1kg
161,29-03-2023,Sweet Potato,37,45,52,1kg
162,28-03-2023,Onion Big,19,23,27,1kg
163,28-03-2023,Onion Small,49,59,70,1kg
164,28-03-2023,Tomato,24,29,34,1kg
165,28-03-2023,Green Chilli,38,46,54,1kg
166,28-03-2023,Beetroot,30,36,43,1kg
167,28-03-2023,Potato,32,39,45,1kg
168,28-03-2023,Raw Banana (Plantain),7,8,10,1kg
169,28-03-2023,Amaranth Leaves,12,14,17,1kg
170,28-03-2023,Amla,50,61,71,1kg
171,28-03-2023,Ash gourd,24,29,34,1kg
172,28-03-2023,Baby Corn,62,75,88,1kg
173,28-03-2023,Banana Flower,15,18,21,1kg
174,28-03-2023,Capsicum,50,61,71,1kg
175,28-03-2023,Bitter Gourd,28,34,40,1kg
176,28-03-2023,Bottle Gourd,30,36,43,1kg
177,28-03-2023,Butter Beans,50,61,71,1kg
178,28-03-2023,Broad Beans,45,54,64,1kg
179,28-03-2023,Cabbage,11,13,15,1kg
180,28-03-2023,Carrot,27,32,38,1kg
181,28-03-2023,Cauliflower,25,30,35,1kg
182,28-03-2023,Cluster beans,40,48,57,1kg
183,28-03-2023,Coconut,25,30,35,1kg
184,28-03-2023,Colocasia Leaves,12,14,17,1kg
185,28-03-2023,Colocasia,22,26,31,1kg
186,28-03-2023,Coriander Leaves,5,6,7,1kg
187,28-03-2023,Corn,28,34,40,1kg
188,28-03-2023,Cucumber,24,29,34,1kg
189,28-03-2023,Curry Leaves,29,35,41,1kg
190,28-03-2023,Dill Leaves,11,13,15,1kg
191,28-03-2023,Drumsticks,120,145,171,1kg
192,28-03-2023,Brinjal,24,29,34,1kg
193,28-03-2023,Brinjal (Big),26,31,37,1kg
194,28-03-2023,Elephant Yam,30,36,43,1kg
195,28-03-2023,Fenugreek Leaves,9,10,13,1kg
196,28-03-2023,French Beans,37,45,52,1kg
197,28-03-2023,Garlic,52,63,74,1kg
198,28-03-2023,Ginger,43,52,61,1kg
199,28-03-2023,Onion Green,45,54,64,1kg
200,28-03-2023,Green Peas,84,102,120,1kg
201,28-03-2023,Ivy Gourd,26,31,37,1kg
202,28-03-2023,Lemon (Lime),52,63,74,1kg
203,28-03-2023,Mango Raw,102,123,145,1kg
204,28-03-2023,Mint Leaves,5,6,7,1kg
205,28-03-2023,Mushroom,86,104,122,1kg
206,28-03-2023,Mustard Leaves,18,22,26,1kg
207,28-03-2023,Ladies Finger,41,49,58,1kg
208,28-03-2023,Pumpkin,20,24,28,1kg
209,28-03-2023,Radish,25,30,35,1kg
210,28-03-2023,Ridge Gourd,27,32,38,1kg
211,28-03-2023,Shallot (Pearl Onion),31,37,44,1kg
212,28-03-2023,Snake Gourd,27,32,38,1kg
213,28-03-2023,Sorrel Leaves,13,16,18,1kg
214,28-03-2023,Spinach,11,13,15,1kg
215,28-03-2023,Sweet Potato,36,43,51,1kg
216,27-03-2023,Onion Big,19,23,27,1kg
217,27-03-2023,Onion Small,49,59,70,1kg
218,27-03-2023,Tomato,24,29,34,1kg
219,27-03-2023,Green Chilli,38,46,54,1kg
220,27-03-2023,Beetroot,30,36,43,1kg
221,27-03-2023,Potato,32,39,45,1kg
222,27-03-2023,Raw Banana (Plantain),7,8,10,1kg
223,27-03-2023,Amaranth Leaves,12,14,17,1kg
224,27-03-2023,Amla,50,61,71,1kg
225,27-03-2023,Ash gourd,24,29,34,1kg
