,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,31-12-2022,Onion Big,30,36,43,1kg
1,31-12-2022,Onion Small,39,47,55,1kg
2,31-12-2022,Tomato,16,19,22,1kg
3,31-12-2022,Green Chilli,32,39,45,1kg
4,31-12-2022,Beetroot,37,45,52,1kg
5,31-12-2022,Potato,32,39,45,1kg
6,31-12-2022,Raw Banana (Plantain),9,10,13,1kg
7,31-12-2022,Amaranth Leaves,12,14,17,1kg
8,31-12-2022,Amla,70,85,100,1kg
9,31-12-2022,Ash gourd,27,32,38,1kg
10,31-12-2022,Baby Corn,63,76,90,1kg
11,31-12-2022,Banana Flower,14,17,20,1kg
12,31-12-2022,Capsicum,44,53,63,1kg
13,31-12-2022,Bitter Gourd,34,41,48,1kg
14,31-12-2022,Bottle Gourd,30,36,43,1kg
15,31-12-2022,Butter Beans,75,90,107,1kg
16,31-12-2022,Broad Beans,36,43,51,1kg
17,31-12-2022,Cabbage,24,29,34,1kg
18,31-12-2022,Carrot,36,43,51,1kg
19,31-12-2022,Cauliflower,28,34,40,1kg
20,31-12-2022,Cluster beans,43,52,61,1kg
21,31-12-2022,Coconut,28,34,40,1kg
22,31-12-2022,Colocasia Leaves,10,12,14,1kg
23,31-12-2022,Colocasia,26,31,37,1kg
24,31-12-2022,Coriander Leaves,6,7,8,1kg
25,31-12-2022,Corn,30,36,43,1kg
26,31-12-2022,Cucumber,25,30,35,1kg
27,31-12-2022,Curry Leaves,28,34,40,1kg
28,31-12-2022,Dill Leaves,11,13,15,1kg
29,31-12-2022,Drumsticks,80,97,114,1kg
30,31-12-2022,Brinjal,27,32,38,1kg
31,31-12-2022,Brinjal (Big),26,31,37,1kg
32,31-12-2022,Elephant Yam,26,31,37,1kg
33,31-12-2022,Fenugreek Leaves,12,14,17,1kg
34,31-12-2022,French Beans,30,36,43,1kg
35,31-12-2022,Garlic,40,48,57,1kg
36,31-12-2022,Ginger,45,54,64,1kg
37,31-12-2022,Onion Green,41,49,58,1kg
38,31-12-2022,Green Peas,81,98,115,1kg
39,31-12-2022,Ivy Gourd,22,26,31,1kg
40,31-12-2022,Lemon (Lime),56,67,79,1kg
41,31-12-2022,Mango Raw,85,103,121,1kg
42,31-12-2022,Mint Leaves,4,5,6,1kg
43,31-12-2022,Mushroom,81,98,115,1kg
44,31-12-2022,Mustard Leaves,18,22,26,1kg
45,31-12-2022,Ladies Finger,29,35,41,1kg
46,31-12-2022,Pumpkin,30,36,43,1kg
47,31-12-2022,Radish,26,31,37,1kg
48,31-12-2022,Ridge Gourd,28,34,40,1kg
49,31-12-2022,Shallot (Pearl Onion),36,43,51,1kg
50,31-12-2022,Snake Gourd,28,34,40,1kg
51,31-12-2022,Sorrel Leaves,12,14,17,1kg
52,31-12-2022,Spinach,13,16,18,1kg
53,31-12-2022,Sweet Potato,38,46,54,1kg
54,30-12-2022,Onion Big,30,36,43,1kg
55,30-12-2022,Onion Small,39,47,55,1kg
56,30-12-2022,Tomato,16,19,22,1kg
57,30-12-2022,Green Chilli,32,39,45,1kg
58,30-12-2022,Beetroot,37,45,52,1kg
59,30-12-2022,Potato,32,39,45,1kg
60,30-12-2022,Raw Banana (Plantain),9,10,13,1kg
61,30-12-2022,Amaranth Leaves,12,14,17,1kg
62,30-12-2022,Amla,70,85,100,1kg
63,30-12-2022,Ash gourd,27,32,38,1kg
64,30-12-2022,Baby Corn,63,76,90,1kg
65,30-12-2022,Banana Flower,14,17,20,1kg
66,30-12-2022,Capsicum,44,53,63,1kg
67,30-12-2022,Bitter Gourd,34,41,48,1kg
68,30-12-2022,Bottle Gourd,30,36,43,1kg
69,30-12-2022,Butter Beans,75,90,107,1kg
70,30-12-2022,Broad Beans,36,43,51,1kg
71,30-12-2022,Cabbage,24,29,34,1kg
72,30-12-2022,Carrot,36,43,51,1kg
73,30-12-2022,Cauliflower,28,34,40,1kg
74,30-12-2022,Cluster beans,43,52,61,1kg
75,30-12-2022,Coconut,28,34,40,1kg
76,30-12-2022,Colocasia Leaves,10,12,14,1kg
77,30-12-2022,Colocasia,26,31,37,1kg
78,30-12-2022,Coriander Leaves,6,7,8,1kg
79,30-12-2022,Corn,30,36,43,1kg
80,30-12-2022,Cucumber,25,30,35,1kg
81,30-12-2022,Curry Leaves,28,34,40,1kg
82,30-12-2022,Dill Leaves,11,13,15,1kg
83,30-12-2022,Drumsticks,80,97,114,1kg
84,30-12-2022,Brinjal,27,32,38,1kg
85,30-12-2022,Brinjal (Big),26,31,37,1kg
86,30-12-2022,Elephant Yam,26,31,37,1kg
87,30-12-2022,Fenugreek Leaves,12,14,17,1kg
88,30-12-2022,French Beans,30,36,43,1kg
89,30-12-2022,Garlic,40,48,57,1kg
90,30-12-2022,Ginger,45,54,64,1kg
91,30-12-2022,Onion Green,41,49,58,1kg
92,30-12-2022,Green Peas,81,98,115,1kg
93,30-12-2022,Ivy Gourd,22,26,31,1kg
94,30-12-2022,Lemon (Lime),56,67,79,1kg
95,30-12-2022,Mango Raw,85,103,121,1kg
96,30-12-2022,Mint Leaves,4,5,6,1kg
97,30-12-2022,Mushroom,81,98,115,1kg
98,30-12-2022,Mustard Leaves,18,22,26,1kg
99,30-12-2022,Ladies Finger,29,35,41,1kg
100,30-12-2022,Pumpkin,30,36,43,1kg
101,30-12-2022,Radish,26,31,37,1kg
102,30-12-2022,Ridge Gourd,28,34,40,1kg
103,30-12-2022,Shallot (Pearl Onion),36,43,51,1kg
104,30-12-2022,Snake Gourd,28,34,40,1kg
