,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
0,11-09-2022,Onion Big,22,26,31,1kg
1,11-09-2022,Onion Small,28,34,40,1kg
2,11-09-2022,Tomato,44,53,63,1kg
3,11-09-2022,Green Chilli,34,41,48,1kg
4,11-09-2022,Beetroot,34,41,48,1kg
5,11-09-2022,Potato,32,39,45,1kg
6,11-09-2022,Raw Banana (Plantain),11,13,15,1kg
7,11-09-2022,Amaranth Leaves,10,12,14,1kg
8,11-09-2022,Amla,50,61,71,1kg
9,11-09-2022,Ash gourd,26,31,37,1kg
10,11-09-2022,Baby Corn,66,80,94,1kg
11,11-09-2022,Banana Flower,12,14,17,1kg
12,11-09-2022,Capsicum,40,48,57,1kg
13,11-09-2022,Bitter Gourd,30,36,43,1kg
14,11-09-2022,Bottle Gourd,23,27,33,1kg
15,11-09-2022,Butter Beans,79,95,112,1kg
16,11-09-2022,Broad Beans,31,37,44,1kg
17,11-09-2022,Cabbage,18,22,26,1kg
18,11-09-2022,Carrot,63,76,90,1kg
19,11-09-2022,Cauliflower,44,53,63,1kg
20,11-09-2022,Cluster beans,70,85,100,1kg
21,11-09-2022,Coconut,35,42,50,1kg
22,11-09-2022,Colocasia Leaves,11,13,15,1kg
23,11-09-2022,Colocasia,27,32,38,1kg
24,11-09-2022,Coriander Leaves,12,14,17,1kg
25,11-09-2022,Corn,22,26,31,1kg
26,11-09-2022,Cucumber,21,25,30,1kg
27,11-09-2022,Curry Leaves,26,31,37,1kg
28,11-09-2022,Dill Leaves,13,16,18,1kg
29,11-09-2022,Drumsticks,90,109,128,1kg
30,11-09-2022,Brinjal,19,23,27,1kg
31,11-09-2022,Brinjal (Big),27,32,38,1kg
32,11-09-2022,Elephant Yam,29,35,41,1kg
33,11-09-2022,Fenugreek Leaves,7,8,10,1kg
34,11-09-2022,French Beans,52,63,74,1kg
35,11-09-2022,Garlic,52,63,74,1kg
36,11-09-2022,Ginger,42,50,59,1kg
37,11-09-2022,Onion Green,38,46,54,1kg
38,11-09-2022,Green Peas,75,90,107,1kg
39,11-09-2022,Ivy Gourd,25,30,35,1kg
40,11-09-2022,Lemon (Lime),56,67,79,1kg
41,11-09-2022,Mango Raw,98,118,140,1kg
42,11-09-2022,Mint Leaves,6,7,8,1kg
43,11-09-2022,Mushroom,73,88,104,1kg
44,11-09-2022,Mustard Leaves,17,21,24,1kg
45,11-09-2022,Ladies Finger,20,24,28,1kg
46,11-09-2022,Pumpkin,27,32,38,1kg
47,11-09-2022,Radish,21,25,30,1kg
48,11-09-2022,Ridge Gourd,25,30,35,1kg
49,11-09-2022,Shallot (Pearl Onion),31,37,44,1kg
50,11-09-2022,Snake Gourd,26,31,37,1kg
51,11-09-2022,Sorrel Leaves,13,16,18,1kg
52,11-09-2022,Spinach,11,13,15,1kg
53,11-09-2022,Sweet Potato,38,46,54,1kg
54,10-09-2022,Onion Big,23,27,33,1kg
55,10-09-2022,Onion Small,27,32,38,1kg
56,10-09-2022,Tomato,36,43,51,1kg
57,10-09-2022,Green Chilli,36,43,51,1kg
58,10-09-2022,Beetroot,35,42,50,1kg
59,10-09-2022,Potato,31,37,44,1kg
60,10-09-2022,Raw Banana (Plantain),7,8,10,1kg
61,10-09-2022,Amaranth Leaves,10,12,14,1kg
62,10-09-2022,Amla,50,61,71,1kg
63,10-09-2022,Ash gourd,22,26,31,1kg
64,10-09-2022,Baby Corn,70,85,100,1kg
65,10-09-2022,Banana Flower,13,16,18,1kg
66,10-09-2022,Capsicum,44,53,63,1kg
67,10-09-2022,Bitter Gourd,30,36,43,1kg
